time,pc1_chile,pc1_peru,windindex
2000-03-24,10.284411763335555,-8.327549946567727,7.626802699403348
2000-03-25,-12.595225511921905,-5.124869825287602,-13.4022070240347
2000-03-26,15.669714042912997,-1.4301188137458944,15.092106053808127
2000-03-27,29.521609135906203,2.1733283490461957,28.67062915344164
2000-03-28,7.018332210907271,-2.5272259278689,4.774450936616375
2000-03-29,-21.91306854933337,-2.1429045272252942,-22.451952299746804
2000-03-30,-0.9364380648011611,2.754673657733359,-0.5927851162773461
2000-03-31,12.911254844904274,-3.511516111072292,10.97630110577169
2000-04-01,-17.5135077639732,-7.159733209819413,-18.16559575155121
2000-04-02,-16.808398362749756,-2.7052266465918353,-16.167219703561365
2000-04-03,-6.357252348017327,8.168922746681636,-2.0802600709031953
2000-04-04,12.570520538749763,3.2492068491277255,14.18146173985617
